"","Variable.name","Description","Variable type","Variable range or levels","Units","How.measured"
"1","X","Unique numbers generated by CSV export in R. Not reliable.","numeric","1 - 19632","","defined"
"2","plot_id","Plot ID that is site number, aspect initial, and plot number.","categorical","1E1 - 5W5","","defined"
"3","tomst_id","Unique serial number for individual Tomst unit","numeric","94212206 - 95224159","","defined"
"4","site","Site number","numeric","1 - 5","","defined"
"5","aspect","Plot aspect","categorical","east - west","","defined"
"6","plot","Plot number","numeric","1 - 5","","defined"
"7","datetime","Date and time of measurement","categorical","2023-12-06 00:00:00 - 2023-12-14 15:30:00","yyyy-mm-dd hh:mm:ss","defined"
"8","zone","We don't know what this does","numeric","4 - 8","","defined"
"9","T1","Air temperature, 15 cm above ground","numeric","8.688 - 27.375","degrees C","measured"
"10","T2","Temperature at ground level","numeric","5.312 - 35.25","degrees C","measured"
"11","T3","Soil temperature, 8 cm belowground","numeric","4.125 - 36.75","degrees C","measured"
"12","moist","Raw moisture reading","numeric","1250 - 3559","","measured"
"13","moist_vol","Converted soil moisture content","numeric","13.356 - 56.202","percent","measured"
